prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR-Fusion	2	896	179	2353	0.28	0.83	0.419	0.17
JAFFA-Direct	2	917	596	2332	0.28	0.61	0.384	0.39
JAFFA-Hybrid	2	1054	1677	2195	0.32	0.39	0.352	0.61
TopHat-Fusion	3	727	849	2522	0.22	0.46	0.298	0.54
JAFFA-Assembly	1	598	303	2651	0.18	0.66	0.283	0.34
InFusion	4	526	481	2723	0.16	0.52	0.245	0.48
SOAP-fuse	2	441	158	2808	0.14	0.74	0.235	0.26
ChimPipe	3	429	13	2820	0.13	0.97	0.229	0.03
nFuse	6	722	2483	2527	0.22	0.23	0.225	0.77
deFuse	6	603	1842	2646	0.19	0.25	0.216	0.75
ChimeraScan	4	606	1953	2643	0.19	0.24	0.212	0.76
MapSplice	3	388	269	2861	0.12	0.59	0.199	0.41
FusionCatcher	5	350	40	2899	0.11	0.9	0.196	0.1
EricScript	15	439	1786	2810	0.14	0.2	0.165	0.8
PRADA	4	216	9	3033	0.07	0.96	0.13	0.04
FusionHunter	8	118	12	3131	0.04	0.91	0.077	0.09
