prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR-Fusion	2	990	176	2326	0.3	0.85	0.443	0.15
JAFFA-Direct	2	926	603	2390	0.28	0.61	0.384	0.39
JAFFA-Hybrid	2	1057	1685	2259	0.32	0.39	0.352	0.61
TopHat-Fusion	3	750	859	2566	0.23	0.47	0.309	0.53
JAFFA-Assembly	1	596	307	2720	0.18	0.66	0.283	0.34
InFusion	4	539	477	2777	0.16	0.53	0.246	0.47
SOAP-fuse	3	454	159	2862	0.14	0.74	0.235	0.26
ChimPipe	3	432	12	2884	0.13	0.97	0.229	0.03
ChimeraScan	3	830	3444	2486	0.25	0.19	0.216	0.81
nFuse	7	651	2304	2665	0.2	0.22	0.21	0.78
deFuse	8	588	1798	2728	0.18	0.25	0.209	0.75
MapSplice	3	390	268	2926	0.12	0.59	0.199	0.41
FusionCatcher	5	364	38	2952	0.11	0.91	0.196	0.09
EricScript	14	448	1973	2868	0.14	0.19	0.161	0.81
PRADA	4	216	9	3100	0.07	0.96	0.13	0.04
FusionHunter	8	118	12	3198	0.04	0.91	0.077	0.09
