prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR-Fusion	2	940	197	2309	0.29	0.83	0.43	0.17
JAFFA-Direct	2	924	605	2325	0.28	0.6	0.382	0.4
JAFFA-Hybrid	2	1055	1687	2194	0.32	0.38	0.347	0.62
TopHat-Fusion	3	743	864	2506	0.23	0.46	0.307	0.54
JAFFA-Assembly	1	596	307	2653	0.18	0.66	0.283	0.34
InFusion	4	533	481	2716	0.16	0.53	0.246	0.47
SOAP-fuse	3	451	160	2798	0.14	0.74	0.235	0.26
ChimPipe	3	431	13	2818	0.13	0.97	0.229	0.03
ChimeraScan	3	808	3467	2441	0.25	0.19	0.216	0.81
nFuse	7	646	2309	2603	0.2	0.22	0.21	0.78
deFuse	9	573	1754	2676	0.18	0.25	0.209	0.75
MapSplice	3	386	271	2863	0.12	0.59	0.199	0.41
FusionCatcher	5	362	40	2887	0.11	0.9	0.196	0.1
EricScript	13	472	2159	2777	0.15	0.18	0.164	0.82
PRADA	4	217	9	3032	0.07	0.96	0.13	0.04
FusionHunter	8	118	12	3131	0.04	0.91	0.077	0.09
