prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR-Fusion	2	905	171	2411	0.27	0.84	0.409	0.16
JAFFA-Direct	2	919	594	2397	0.28	0.61	0.384	0.39
JAFFA-Hybrid	2	1057	1674	2259	0.32	0.39	0.352	0.61
TopHat-Fusion	3	732	844	2584	0.22	0.46	0.298	0.54
JAFFA-Assembly	1	598	303	2718	0.18	0.66	0.283	0.34
InFusion	4	533	477	2783	0.16	0.53	0.246	0.47
ChimPipe	3	429	12	2887	0.13	0.97	0.229	0.03
nFuse	6	728	2477	2588	0.22	0.23	0.225	0.77
SOAP-fuse	3	429	152	2887	0.13	0.74	0.221	0.26
ChimeraScan	3	790	3315	2526	0.24	0.19	0.212	0.81
deFuse	9	581	1739	2735	0.18	0.25	0.209	0.75
MapSplice	3	390	267	2926	0.12	0.59	0.199	0.41
FusionCatcher	5	352	38	2964	0.11	0.9	0.196	0.1
EricScript	11	518	2527	2798	0.16	0.17	0.165	0.83
PRADA	4	216	9	3100	0.07	0.96	0.13	0.04
FusionHunter	8	118	12	3198	0.04	0.91	0.077	0.09
