prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR-Fusion	2	2295	49	205	0.92	0.98	0.949	0.02
MapSplice	3	1967	16	533	0.79	0.99	0.879	0.01
JAFFA-Direct	1	2098	241	402	0.84	0.9	0.869	0.1
ChimPipe	3	1949	47	551	0.78	0.98	0.869	0.02
FusionCatcher	5	1891	47	609	0.76	0.98	0.856	0.02
TopHat-Fusion	2	2026	229	474	0.81	0.9	0.853	0.1
InFusion	5	1952	171	548	0.78	0.92	0.844	0.08
ChimeraScan	3	2095	548	405	0.84	0.79	0.814	0.21
JAFFA-Hybrid	1	1789	135	711	0.72	0.93	0.812	0.07
SOAP-fuse	4	1771	154	729	0.71	0.92	0.801	0.08
PRADA	3	1646	5	854	0.66	1	0.795	0
EricScript	6	1766	214	734	0.71	0.89	0.79	0.11
JAFFA-Assembly	9	1592	268	908	0.64	0.86	0.734	0.14
deFuse	11	1813	753	687	0.73	0.71	0.72	0.29
FusionHunter	12	566	513	1934	0.23	0.52	0.319	0.48
nFuse	8	289	2167	2211	0.12	0.12	0.12	0.88
