data_set	prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
sim_101	STAR-Fusion	2	470	9	30	0.94	0.98	0.960
sim_101	STAR-Fusion	3	456	8	44	0.91	0.98	0.944
sim_101	STAR-Fusion	4	438	8	62	0.88	0.98	0.927
sim_101	STAR-Fusion	5	426	7	74	0.85	0.98	0.910
sim_101	STAR-Fusion	6	417	7	83	0.83	0.98	0.899
sim_101	STAR-Fusion	7	408	7	92	0.82	0.98	0.893
sim_101	STAR-Fusion	8	397	7	103	0.79	0.98	0.875
sim_101	STAR-Fusion	9	390	7	110	0.78	0.98	0.869
sim_101	STAR-Fusion	10	386	6	114	0.77	0.98	0.862
sim_101	STAR-Fusion	11	377	6	123	0.75	0.98	0.850
sim_101	STAR-Fusion	12	366	6	134	0.73	0.98	0.837
sim_101	STAR-Fusion	13	361	6	139	0.72	0.98	0.830
sim_101	STAR-Fusion	14	355	6	145	0.71	0.98	0.823
sim_101	STAR-Fusion	15	350	6	150	0.70	0.98	0.817
sim_101	STAR-Fusion	16	347	6	153	0.69	0.98	0.810
sim_101	STAR-Fusion	17	342	6	158	0.68	0.98	0.803
sim_101	STAR-Fusion	18	339	6	161	0.68	0.98	0.803
sim_101	STAR-Fusion	19	331	6	169	0.66	0.98	0.789
sim_101	STAR-Fusion	20	326	6	174	0.65	0.98	0.782
sim_101	STAR-Fusion	21	322	6	178	0.64	0.98	0.774
sim_101	STAR-Fusion	23	319	4	181	0.64	0.99	0.777
sim_101	STAR-Fusion	24	316	3	184	0.63	0.99	0.770
sim_101	STAR-Fusion	25	314	3	186	0.63	0.99	0.770
sim_101	STAR-Fusion	26	309	3	191	0.62	0.99	0.762
sim_101	STAR-Fusion	27	303	3	197	0.61	0.99	0.755
sim_101	STAR-Fusion	28	301	3	199	0.60	0.99	0.747
sim_101	STAR-Fusion	29	297	3	203	0.59	0.99	0.739
sim_101	STAR-Fusion	30	294	3	206	0.59	0.99	0.739
sim_101	STAR-Fusion	31	290	3	210	0.58	0.99	0.731
sim_101	STAR-Fusion	32	288	3	212	0.58	0.99	0.731
sim_101	STAR-Fusion	33	285	3	215	0.57	0.99	0.723
sim_101	STAR-Fusion	34	284	3	216	0.57	0.99	0.723
sim_101	STAR-Fusion	35	280	3	220	0.56	0.99	0.715
sim_101	STAR-Fusion	37	278	3	222	0.56	0.99	0.715
sim_101	STAR-Fusion	39	277	3	223	0.55	0.99	0.707
sim_101	STAR-Fusion	40	275	3	225	0.55	0.99	0.707
sim_101	STAR-Fusion	41	271	3	229	0.54	0.99	0.699
sim_101	STAR-Fusion	42	267	3	233	0.53	0.99	0.690
sim_101	STAR-Fusion	43	265	3	235	0.53	0.99	0.690
sim_101	STAR-Fusion	44	264	3	236	0.53	0.99	0.690
sim_101	STAR-Fusion	46	261	3	239	0.52	0.99	0.682
sim_101	STAR-Fusion	50	259	3	241	0.52	0.99	0.682
sim_101	STAR-Fusion	52	257	3	243	0.51	0.99	0.673
sim_101	STAR-Fusion	53	254	3	246	0.51	0.99	0.673
sim_101	STAR-Fusion	55	253	3	247	0.51	0.99	0.673
sim_101	STAR-Fusion	56	252	3	248	0.50	0.99	0.664
sim_101	STAR-Fusion	60	249	3	251	0.50	0.99	0.664
sim_101	STAR-Fusion	61	248	3	252	0.50	0.99	0.664
sim_101	STAR-Fusion	63	245	3	255	0.49	0.99	0.656
sim_101	STAR-Fusion	64	244	3	256	0.49	0.99	0.656
sim_101	STAR-Fusion	68	242	3	258	0.48	0.99	0.647
sim_101	STAR-Fusion	69	239	3	261	0.48	0.99	0.647
sim_101	STAR-Fusion	70	237	3	263	0.47	0.99	0.637
sim_101	STAR-Fusion	72	235	3	265	0.47	0.99	0.637
sim_101	STAR-Fusion	74	234	3	266	0.47	0.99	0.637
sim_101	STAR-Fusion	75	233	3	267	0.47	0.99	0.637
sim_101	STAR-Fusion	76	231	3	269	0.46	0.99	0.628
sim_101	STAR-Fusion	78	230	3	270	0.46	0.99	0.628
sim_101	STAR-Fusion	80	229	3	271	0.46	0.99	0.628
sim_101	STAR-Fusion	83	228	3	272	0.46	0.99	0.628
sim_101	STAR-Fusion	84	227	3	273	0.45	0.99	0.619
sim_101	STAR-Fusion	86	226	3	274	0.45	0.99	0.619
sim_101	STAR-Fusion	88	225	3	275	0.45	0.99	0.619
sim_101	STAR-Fusion	89	224	3	276	0.45	0.99	0.619
sim_101	STAR-Fusion	90	223	3	277	0.45	0.99	0.619
sim_101	STAR-Fusion	91	222	3	278	0.44	0.99	0.609
sim_101	STAR-Fusion	92	221	3	279	0.44	0.99	0.609
sim_101	STAR-Fusion	93	220	3	280	0.44	0.99	0.609
sim_101	STAR-Fusion	97	219	2	281	0.44	0.99	0.609
sim_101	STAR-Fusion	98	218	2	282	0.44	0.99	0.609
sim_101	STAR-Fusion	100	216	2	284	0.43	0.99	0.600
sim_101	STAR-Fusion	101	215	2	285	0.43	0.99	0.600
sim_101	STAR-Fusion	102	214	2	286	0.43	0.99	0.600
sim_101	STAR-Fusion	103	210	2	290	0.42	0.99	0.590
sim_101	STAR-Fusion	104	209	2	291	0.42	0.99	0.590
sim_101	STAR-Fusion	105	207	2	293	0.41	0.99	0.580
sim_101	STAR-Fusion	108	205	2	295	0.41	0.99	0.580
sim_101	STAR-Fusion	109	203	2	297	0.41	0.99	0.580
sim_101	STAR-Fusion	111	201	2	299	0.40	0.99	0.570
sim_101	STAR-Fusion	112	200	2	300	0.40	0.99	0.570
sim_101	STAR-Fusion	115	198	2	302	0.40	0.99	0.570
sim_101	STAR-Fusion	116	195	2	305	0.39	0.99	0.560
sim_101	STAR-Fusion	117	194	2	306	0.39	0.99	0.560
sim_101	STAR-Fusion	118	192	2	308	0.38	0.99	0.549
sim_101	STAR-Fusion	121	191	2	309	0.38	0.99	0.549
sim_101	STAR-Fusion	123	190	2	310	0.38	0.99	0.549
sim_101	STAR-Fusion	127	187	2	313	0.37	0.99	0.539
sim_101	STAR-Fusion	129	186	2	314	0.37	0.99	0.539
sim_101	STAR-Fusion	134	185	2	315	0.37	0.99	0.539
sim_101	STAR-Fusion	140	184	2	316	0.37	0.99	0.539
sim_101	STAR-Fusion	141	183	2	317	0.37	0.99	0.539
sim_101	STAR-Fusion	143	182	2	318	0.36	0.99	0.528
sim_101	STAR-Fusion	144	181	2	319	0.36	0.99	0.528
sim_101	STAR-Fusion	147	180	2	320	0.36	0.99	0.528
sim_101	STAR-Fusion	148	179	2	321	0.36	0.99	0.528
sim_101	STAR-Fusion	149	178	2	322	0.36	0.99	0.528
sim_101	STAR-Fusion	150	176	2	324	0.35	0.99	0.517
sim_101	STAR-Fusion	152	175	2	325	0.35	0.99	0.517
sim_101	STAR-Fusion	155	174	2	326	0.35	0.99	0.517
sim_101	STAR-Fusion	156	173	2	327	0.35	0.99	0.517
sim_101	STAR-Fusion	159	172	2	328	0.34	0.99	0.506
sim_101	STAR-Fusion	161	171	2	329	0.34	0.99	0.506
sim_101	STAR-Fusion	169	170	2	330	0.34	0.99	0.506
sim_101	STAR-Fusion	170	169	2	331	0.34	0.99	0.506
sim_101	STAR-Fusion	172	168	2	332	0.34	0.99	0.506
sim_101	STAR-Fusion	177	167	2	333	0.33	0.99	0.495
sim_101	STAR-Fusion	182	166	2	334	0.33	0.99	0.495
sim_101	STAR-Fusion	184	165	2	335	0.33	0.99	0.495
sim_101	STAR-Fusion	191	163	2	337	0.33	0.99	0.495
sim_101	STAR-Fusion	193	162	2	338	0.32	0.99	0.484
sim_101	STAR-Fusion	195	161	2	339	0.32	0.99	0.484
sim_101	STAR-Fusion	198	160	2	340	0.32	0.99	0.484
sim_101	STAR-Fusion	201	159	2	341	0.32	0.99	0.484
sim_101	STAR-Fusion	203	158	2	342	0.32	0.99	0.484
sim_101	STAR-Fusion	204	156	2	344	0.31	0.99	0.472
sim_101	STAR-Fusion	207	155	2	345	0.31	0.99	0.472
sim_101	STAR-Fusion	208	154	2	346	0.31	0.99	0.472
sim_101	STAR-Fusion	227	153	2	347	0.31	0.99	0.472
sim_101	STAR-Fusion	228	152	2	348	0.30	0.99	0.460
sim_101	STAR-Fusion	231	151	2	349	0.30	0.99	0.460
sim_101	STAR-Fusion	232	150	2	350	0.30	0.99	0.460
