prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR-Fusion	2	739	337	275	0.73	0.69	0.709	0.31
ChimPipe	3	399	42	615	0.39	0.9	0.544	0.1
JAFFA-Direct	3	469	237	545	0.46	0.66	0.542	0.34
FusionCatcher	3	345	65	669	0.34	0.84	0.484	0.16
InFusion	5	447	393	567	0.44	0.53	0.481	0.47
TopHat-Fusion	5	456	464	558	0.45	0.5	0.474	0.5
SOAP-fuse	3	364	217	650	0.36	0.63	0.458	0.37
MapSplice	3	370	287	644	0.36	0.56	0.438	0.44
JAFFA-Assembly	2	396	396	618	0.39	0.5	0.438	0.5
PRADA	3	232	10	782	0.23	0.96	0.371	0.04
JAFFA-Hybrid	3	522	1378	492	0.51	0.27	0.353	0.73
ChimeraScan	7	279	859	735	0.28	0.25	0.264	0.75
nFuse	13	342	1371	672	0.34	0.2	0.252	0.8
deFuse	15	340	1377	674	0.34	0.2	0.252	0.8
FusionHunter	5	127	15	887	0.13	0.89	0.227	0.11
EricScript	19	232	1453	782	0.23	0.14	0.174	0.86
