prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR-Fusion	2	761	176	253	0.75	0.81	0.779	0.19
ChimPipe	3	401	12	613	0.4	0.97	0.566	0.03
JAFFA-Direct	3	470	197	544	0.46	0.7	0.555	0.3
SOAP-fuse	3	382	159	632	0.38	0.71	0.495	0.29
TopHat-Fusion	5	452	385	562	0.45	0.54	0.491	0.46
FusionCatcher	3	345	49	669	0.34	0.88	0.49	0.12
InFusion	5	428	349	586	0.42	0.55	0.476	0.45
JAFFA-Assembly	2	394	269	620	0.39	0.59	0.47	0.41
MapSplice	3	368	268	646	0.36	0.58	0.444	0.42
JAFFA-Hybrid	3	521	1270	493	0.51	0.29	0.37	0.71
PRADA	3	228	10	786	0.22	0.96	0.358	0.04
ChimeraScan	6	315	999	699	0.31	0.24	0.271	0.76
deFuse	7	372	1836	642	0.37	0.17	0.233	0.83
nFuse	11	280	1508	734	0.28	0.16	0.204	0.84
EricScript	20	213	1252	801	0.21	0.15	0.175	0.85
FusionHunter	6	88	12	926	0.09	0.88	0.163	0.12
