prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR-Fusion	2	762	363	252	0.75	0.68	0.713	0.32
ChimPipe	3	401	42	613	0.4	0.91	0.556	0.09
JAFFA-Direct	3	473	249	541	0.47	0.66	0.549	0.34
FusionCatcher	3	355	65	659	0.35	0.85	0.496	0.15
InFusion	5	453	393	561	0.45	0.54	0.491	0.46
TopHat-Fusion	5	465	476	549	0.46	0.49	0.475	0.51
SOAP-fuse	3	382	225	632	0.38	0.63	0.474	0.37
MapSplice	3	370	288	644	0.36	0.56	0.438	0.44
JAFFA-Assembly	2	395	400	619	0.39	0.5	0.438	0.5
PRADA	3	232	10	782	0.23	0.96	0.371	0.04
JAFFA-Hybrid	3	525	1385	489	0.52	0.27	0.355	0.73
ChimeraScan	6	321	1112	693	0.32	0.22	0.261	0.78
nFuse	13	340	1380	674	0.34	0.2	0.252	0.8
deFuse	7	426	1984	588	0.42	0.18	0.252	0.82
FusionHunter	5	127	15	887	0.13	0.89	0.227	0.11
EricScript	19	229	1467	785	0.23	0.14	0.174	0.86
