prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR-Fusion	2	1976	2	524	0.79	1	0.883	0
nFuse	5	1992	76	508	0.8	0.96	0.873	0.04
SOAP-fuse	2	1896	22	604	0.76	0.99	0.86	0.01
ChimPipe	3	1857	6	643	0.74	1	0.851	0
deFuse	7	1852	22	648	0.74	0.99	0.847	0.01
InFusion	4	1875	58	625	0.75	0.97	0.846	0.03
PRADA	3	1702	5	798	0.68	1	0.81	0
ChimeraScan	3	1803	202	697	0.72	0.9	0.8	0.1
TopHat-Fusion	2	1682	70	818	0.67	0.96	0.789	0.04
MapSplice	5	1613	4	887	0.65	1	0.788	0
FusionCatcher	5	1565	12	935	0.63	0.99	0.77	0.01
FusionHunter	3	1470	11	1030	0.59	0.99	0.739	0.01
EricScript	4	1467	20	1033	0.59	0.99	0.739	0.01
JAFFA-Assembly	1	1291	9	1209	0.52	0.99	0.682	0.01
