1	2	3	4	5	6	7	8	9	10
STAR-Fusion	65.394	89.366	95.11	98.04	100	99.608	98.772	99.566	99.574	100
JAFFA-Assembly	25.112	54.048	78.118	80.372	76.626	82.846	79.63	76.922	70.862	65.942
ChimeraScan	48.582	78.57	87.204	93.268	95.768	97.04	99.524	100	97.824	97.976
FusionHunter	3.318	9.0925	16.592	33.708	46.596	61.492	69.022	73.192	74.224	80.562
InFusion	29.71	67.59	84.538	93.054	95.03	96.418	96.274	97.13	95.53	97.446
PRADA	9.5	30.022	60.618	67.008	82.602	85.026	86.282	87.236	88.36	89.456
SOAP-fuse	23.594	53.364	76.29	81.484	82.812	85.646	82.004	85.612	81.386	84.34
EricScript	39.406	66.034	70.6	76.616	75.242	75.83	82.2	80.826	82.124	82.816
deFuse	13.27	63.056	88.804	96.778	98.746	99.608	99.566	99.592	99.574	99.14
MapSplice	40.454	74.786	84.256	84.896	87.112	85.908	84.372	84.18	89.282	91.296
JAFFA-Hybrid	57.75	76.068	82.022	78.938	77.652	75.616	76.402	72.38	67.016	76.302
JAFFA-Direct	59.866	78.88	88.81	87.792	89.736	93.482	93.076	95.832	92.096	94.63
nFuse	31.494	77.408	96.326	99.024	98.246	97.588	99.27	99.232	99.574	100
FusionCatcher	14.118	49.026	78.57	87.708	90.11	90.082	93.496	92.438	95.34	96.96
TopHat-Fusion	61.08	79.474	87.374	85	88.064	90.392	93.562	90.084	92.914	94.268
ChimPipe	31.436	59.452	74.612	77.548	91.02	92.264	92.07	95.812	96.568	97.074
