prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR-Fusion	4	512	98	171	0.75	0.84	0.792	0.16
ChimPipe	3	362	79	321	0.53	0.82	0.644	0.18
FusionCatcher	5	332	64	351	0.49	0.84	0.619	0.16
JAFFA-Direct	3	432	285	251	0.63	0.6	0.615	0.4
SOAP-fuse	6	327	131	356	0.48	0.71	0.573	0.29
InFusion	7	359	292	324	0.53	0.55	0.54	0.45
MapSplice	4	340	254	343	0.5	0.57	0.533	0.43
TopHat-Fusion	5	409	530	274	0.6	0.44	0.508	0.56
PRADA	3	227	15	456	0.33	0.94	0.489	0.0600000000000001
JAFFA-Assembly	4	324	339	359	0.47	0.49	0.48	0.51
JAFFA-Hybrid	5	393	1134	290	0.58	0.26	0.359	0.74
FusionHunter	4	127	19	556	0.19	0.87	0.312	0.13
ChimeraScan	6	281	1150	402	0.41	0.2	0.269	0.8
nFuse	16	251	1168	432	0.37	0.18	0.242	0.82
deFuse	19	246	1156	437	0.36	0.18	0.24	0.82
EricScript	24	176	1124	507	0.26	0.14	0.182	0.86
