prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR-Fusion	3	561	61	122	0.82	0.9	0.858	0.1
ChimPipe	3	361	12	322	0.53	0.97	0.685	0.03
JAFFA-Direct	3	429	197	254	0.63	0.69	0.659	0.31
FusionCatcher	3	332	49	351	0.49	0.87	0.627	0.13
SOAP-fuse	6	327	73	356	0.48	0.82	0.606	0.18
TopHat-Fusion	5	401	385	282	0.59	0.51	0.547	0.49
MapSplice	3	353	268	330	0.52	0.57	0.544	0.43
InFusion	5	381	349	302	0.56	0.52	0.539	0.48
JAFFA-Assembly	2	341	269	342	0.5	0.56	0.528	0.44
PRADA	3	216	10	467	0.32	0.96	0.48	0.04
JAFFA-Hybrid	3	461	1270	222	0.67	0.27	0.385	0.73
ChimeraScan	7	247	790	436	0.36	0.24	0.288	0.76
deFuse	20	195	969	488	0.29	0.17	0.214	0.83
FusionHunter	6	72	12	611	0.11	0.86	0.195	0.14
EricScript	20	196	1252	487	0.29	0.14	0.189	0.86
nFuse	11	217	1508	466	0.32	0.13	0.185	0.87
