prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR-Fusion	3	546	61	137	0.8	0.9	0.847	0.1
ChimPipe	3	360	12	323	0.53	0.97	0.685	0.03
JAFFA-Direct	3	430	192	253	0.63	0.69	0.659	0.31
FusionCatcher	4	319	48	364	0.47	0.87	0.61	0.13
SOAP-fuse	6	312	68	371	0.46	0.82	0.589	0.18
MapSplice	3	356	267	327	0.52	0.57	0.544	0.43
TopHat-Fusion	5	398	379	285	0.58	0.51	0.543	0.49
InFusion	5	383	349	300	0.56	0.52	0.539	0.48
JAFFA-Assembly	1	352	304	331	0.52	0.54	0.53	0.46
PRADA	3	216	10	467	0.32	0.96	0.48	0.04
JAFFA-Hybrid	3	460	1265	223	0.67	0.27	0.385	0.73
ChimeraScan	7	249	787	434	0.36	0.24	0.288	0.76
deFuse	15	235	1272	448	0.34	0.16	0.218	0.84
FusionHunter	5	79	13	604	0.12	0.86	0.211	0.14
EricScript	23	182	1068	501	0.27	0.15	0.193	0.85
nFuse	13	201	1267	482	0.29	0.14	0.189	0.86
