prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR-Fusion	4	497	88	186	0.73	0.85	0.785	0.15
ChimPipe	3	361	79	322	0.53	0.82	0.644	0.18
JAFFA-Direct	3	431	276	252	0.63	0.61	0.62	0.39
FusionCatcher	4	325	76	358	0.48	0.81	0.603	0.19
SOAP-fuse	6	312	123	371	0.46	0.72	0.561	0.28
InFusion	5	409	430	274	0.6	0.49	0.539	0.51
MapSplice	4	341	252	342	0.5	0.58	0.537	0.42
TopHat-Fusion	5	403	518	280	0.59	0.44	0.504	0.56
PRADA	3	227	15	456	0.33	0.94	0.489	0.0600000000000001
JAFFA-Assembly	4	325	335	358	0.48	0.49	0.485	0.51
JAFFA-Hybrid	4	428	1265	255	0.63	0.25	0.358	0.75
FusionHunter	4	127	19	556	0.19	0.87	0.312	0.13
ChimeraScan	7	249	896	434	0.36	0.22	0.273	0.78
nFuse	16	250	1164	433	0.37	0.18	0.242	0.82
deFuse	15	285	1425	398	0.42	0.17	0.242	0.83
EricScript	23	187	1191	496	0.27	0.14	0.184	0.86
