prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR-Fusion	3	480	61	58	0.89	0.89	0.89	0.11
ChimPipe	3	318	12	220	0.59	0.96	0.731	0.04
FusionCatcher	3	319	49	219	0.59	0.87	0.703	0.13
JAFFA-Direct	3	388	192	150	0.72	0.67	0.694	0.33
SOAP-fuse	6	292	71	246	0.54	0.8	0.645	0.2
MapSplice	4	330	235	208	0.61	0.58	0.595	0.42
TopHat-Fusion	5	366	379	172	0.68	0.49	0.57	0.51
JAFFA-Assembly	4	304	241	234	0.57	0.56	0.565	0.44
InFusion	6	321	287	217	0.6	0.53	0.563	0.47
PRADA	3	210	10	328	0.39	0.95	0.553	0.05
JAFFA-Hybrid	3	415	1265	123	0.77	0.25	0.377	0.75
ChimeraScan	8	198	633	340	0.37	0.24	0.291	0.76
FusionHunter	4	79	13	459	0.15	0.86	0.255	0.14
deFuse	19	189	1026	349	0.35	0.16	0.22	0.84
EricScript	24	171	999	367	0.32	0.15	0.204	0.85
nFuse	14	170	1178	368	0.32	0.13	0.185	0.87
