1	2	3	4	5	6	7	8	9	10
STAR-Fusion	24.438	64.27	80.202	90.756	96.602	94.182	98.082	95.94	95.062	97.246
JAFFA-Assembly	1.735	17.075	43.026	63.024	77.498	79.778	84.496	84.434	80.042	62.518
ChimeraScan	27.372	54.818	65.402	75.338	81.246	89.862	99.334	98.872	98.75	98.546
FusionHunter	7.81	45.398	60.182	73.668	74.62	80.518	75.354	78.008	72.334	80.092
InFusion	13.404	60.922	80.134	89.986	92.206	95.316	95.684	96.006	92.562	97.286
PRADA	15.674	65.892	73.742	81.538	86.426	80.882	87.13	86.852	81.488	87.068
SOAP-fuse	19.05	65.72	85.754	92.546	93.834	94.588	96.892	95.85	92.812	95.012
EricScript	9.382	45.934	59.976	64.468	77.802	76.072	78.02	76.75	72.1	78.15
deFuse	6.018	55.45	81.95	90.036	95.258	96.556	95.652	97.622	96.804	97.884
MapSplice	2.888	45.89	73.196	84.38	86.188	84.724	83.314	87.28	82.322	86.714
nFuse	16.094	79.468	95.362	98.006	98.128	96.724	96.412	98.266	94.698	98.316
FusionCatcher	2.0425	21.082	50.472	68.57	88.752	89.666	92.574	89.52	89.536	92.12
TopHat-Fusion	13.804	46.658	63.296	74.916	84.514	89.668	90.254	89.7	85.124	89.462
ChimPipe	14.71	61.626	81.064	86.196	94.96	93.336	92.658	95.964	90.07	95.548
