prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR-Fusion	2	2295	49	205	0.92	0.98	0.949	0.02
nFuse	6	2164	121	336	0.87	0.95	0.908	0.05
TopHat-Fusion	2	2108	145	392	0.84	0.94	0.887	0.0600000000000001
InFusion	5	2044	77	456	0.82	0.96	0.884	0.04
MapSplice	3	1967	16	533	0.79	0.99	0.879	0.01
deFuse	9	2038	146	462	0.82	0.93	0.872	0.07
JAFFA-Direct	1	2099	229	401	0.84	0.9	0.869	0.1
ChimPipe	3	1949	47	551	0.78	0.98	0.869	0.02
FusionCatcher	5	1891	44	609	0.76	0.98	0.856	0.02
ChimeraScan	3	2095	537	405	0.84	0.8	0.82	0.2
JAFFA-Hybrid	1	1790	132	710	0.72	0.93	0.812	0.07
SOAP-fuse	4	1771	154	729	0.71	0.92	0.801	0.08
PRADA	3	1646	5	854	0.66	1	0.795	0
EricScript	6	1766	214	734	0.71	0.89	0.79	0.11
JAFFA-Assembly	9	1594	266	906	0.64	0.86	0.734	0.14
FusionHunter	8	1089	14	1411	0.44	0.99	0.609	0.01
